text,label
"Dear Jane,

Your feedback is valuable to us. Please take a moment to complete our survey.",legitimate
"Exclusive offer just for you! Buy one phone, get one free! Click [here](http://example.com) to redeem.",spam
"Hello Jane,

Your subscription will renew on July 15. If you have any questions, please contact us.",legitimate
"Dear Alex,

Thank you for your support. We appreciate your business.",legitimate
Get high returns on your investment! Learn how at http://offers.com.,spam
Earn $500/hour working from home! Apply now at http://promo.com.,spam
You've won a lottery! Claim your prize by sending your details to promo@example.com.,spam
Get the best deal! Renew your subscription now at http://example.com for exclusive benefits.,spam
"Hello Michael,

Your meeting with Sarah is scheduled for June 1 at 9:00 AM.",legitimate
"Hello John,

Your meeting with John is scheduled for July 15 at 3:00 PM.",legitimate
"Dear Emily,

Thank you for your kind email. I appreciate your support and look forward to our collaboration.",legitimate
"Dear John,

You have a pending renewal for software suite. Please visit https://www.amazon.com to update your payment information.",legitimate
Immediate action required! Update your payment information at [this link](http://example.com) to avoid account suspension.,spam
You're the lucky winner of the SuperLotto lottery! Claim your prize now by visiting http://example.com.,spam
"Receipt of payment received for smartwatch. For more details, click [here](http://example.com).",spam
"Hi John,

I hope this email finds you well. Just checking in to see how you're doing.",legitimate
"Hello Alex,

Thank you for your application. We'll get back to you shortly.",legitimate
Earn money from home! Learn how at http://promo.com.,spam
Earn money from home! Learn how at http://promo.com.,spam
Immediate action required! Update your payment information at [this link](http://offers.com) to avoid account suspension.,spam
"Hi Alex,

Let's schedule a meeting for July 15. Let me know if that works for you.",legitimate
"Dear John,

You have a pending renewal for software suite. Please visit https://www.google.com to update your payment information.",legitimate
"Hello Alex,

Your meeting with John is scheduled for April 24 at 11:00 AM.",legitimate
"Hi John,

I hope this email finds you well. Just checking in to see how you're doing.",legitimate
"Hello Jane,

Your meeting with Emily is scheduled for July 15 at 6:30 PM.",legitimate
"Dear John,

Your recent order for phone will arrive on May 10. Thank you for shopping with us!",legitimate
"Hi Michael,

Your appointment with Dr. Chen is set for August 5 at 6:30 PM. Please let us know if you have any questions.",legitimate
Get a loan at an unbeatable interest rate! Visit http://promo.com for more information.,spam
"Dear John,

Just wanted to catch up and see how things are going on your end.",legitimate
"Hello Emily,

I wanted to follow up on our conversation. Can we schedule a time to discuss this further?",legitimate
"Your invoice for $5,000 is attached. Please pay by August 5 to avoid late fees.",spam
"Hello Alex,

Your subscription will renew on July 15. If you have any questions, please contact us.",legitimate
"Hi Alex,

Your feedback helps us improve. Please rate our service at https://www.microsoft.com.",legitimate
Limited-time offer: Get smartwatch for $49.99! Visit http://offers.com to buy now.,spam
You've won a lottery! Claim your prize by sending your details to offers@example.com.,spam
"Dear Michael,

Just wanted to catch up and see how things are going on your end.",legitimate
Get a loan at an unbeatable interest rate! Visit http://promo.com for more information.,spam
Alert! Suspicious activity detected in your account. Please verify your account information by clicking [here](http://offers.com).,spam
"Dear Emily,

Just wanted to catch up and see how things are going on your end.",legitimate
"Hi Jane,

Your feedback helps us improve. Please rate our service at https://www.amazon.com.",legitimate
"Dear Jane,

Your order for phone has been shipped. Track your package with the tracking number 789012.",legitimate
System alert! Your account has been compromised. Secure it now at http://offers.com.,spam
"Hello Jane,

Your account balance is $500.00. If you have any questions, please let us know.",legitimate
You've won a lottery! Claim your prize by sending your details to offers@example.com.,spam
"Receipt of payment received for phone. For more details, click [here](http://example.com).",spam
"Get approved for a loan up to $50,000 with a low interest rate! Apply today at http://example.com.",spam
Your computer is infected! Call our helpline at 1-800-555-1234 for immediate assistance.,spam
"Your invoice for $1,000 is attached. Please pay by July 15 to avoid late fees.",spam
Unlock the secrets to financial freedom! Attend our free webinar by registering at http://example.com.,spam
"Congratulations! You've won a cash prize of $1,000. Contact us at spammer@example.com to claim your prize.",spam
"Hello Alex,

Your account balance is $500.00. If you have any questions, please let us know.",legitimate
Unlock the secrets to rapid weight loss! Learn more at http://offers.com.,spam
Immediate job openings available! No experience required. Visit http://example.com to apply.,spam
System alert! Your account has been compromised. Secure it now at http://promo.com.,spam
Your account has been compromised! Reset your password at http://offers.com.,spam
Limited-time offer: Get phone for $19.99! Visit http://promo.com to buy now.,spam
Huge sale! Get headphones for a special price at http://offers.com.,spam
"Earn $1,000/hour working from home! Apply now at http://example.com.",spam
"Dear Michael,

You have a pending renewal for gaming subscription. Please visit https://www.apple.com to update your payment information.",legitimate
Earn money from home! Learn how at http://example.com.,spam
Unlock the secrets to financial freedom! Attend our free webinar by registering at http://promo.com.,spam
Unlock the secrets to rapid weight loss! Learn more at http://promo.com.,spam
Alert! Suspicious activity detected in your account. Please verify your account information by clicking [here](http://example.com).,spam
"Hello John,

Your subscription will renew on May 10. If you have any questions, please contact us.",legitimate
Your loan application has been approved! Click [here](http://offers.com) to finalize the process.,spam
"Hi Emily,

Your subscription to music streaming will end on April 24. Renew now to continue enjoying our services!",legitimate
You're the lucky winner of the EuroMillions lottery! Claim your prize now by visiting http://example.com.,spam
"Dear Alex,

Just wanted to catch up and see how things are going on your end.",legitimate
Discover the key to anti-aging! Order your trial kit now from http://example.com.,spam
Your loan application has been approved! Click [here](http://offers.com) to finalize the process.,spam
Your account has been compromised! Reset your password at http://offers.com.,spam
Limited-time offer: Get laptop for $49.99! Visit http://promo.com to buy now.,spam
Your subscription will renew on August 5. Update your payment information at http://promo.com.,spam
You're the lucky winner of the Powerball lottery! Claim your prize now by visiting http://example.com.,spam
Get high returns on your investment! Learn how at http://promo.com.,spam
"Dear Emily,

Your feedback is valuable to us. Please take a moment to complete our survey.",legitimate
"Hi Emily,

Your flight reservation for Tokyo on May 10 is confirmed.",legitimate
"Hello John,

Your meeting with Emily is scheduled for April 24 at 11:00 AM.",legitimate
"Hi Jane,

Your feedback helps us improve. Please rate our service at https://www.google.com.",legitimate
"Dear John,

Thank you for your kind email. I appreciate your support and look forward to our collaboration.",legitimate
Your account has been compromised! Reset your password at http://example.com.,spam
"Dear John,

Thank you for your kind email. I appreciate your support and look forward to our collaboration.",legitimate
"Dear Emily,

Your order for phone has been shipped. Track your package with the tracking number 654321.",legitimate
Exclusive investment opportunity! Double your money in 1 year. Visit http://example.com for details.,spam
Exclusive investment opportunity! Double your money in 1 month. Visit http://example.com for details.,spam
"Hello John,

Your meeting with Emily is scheduled for April 24 at 3:00 PM.",legitimate
"Hello Emily,

Your meeting with Robert is scheduled for May 10 at 6:30 PM.",legitimate
"Congratulations! You've won a cash prize of $5,000. Contact us at offers@example.com to claim your prize.",spam
